Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
982310,Phaedo,Plato,"Plato, Plato","David Gallop, R.D. Archer-Hind","=""0192839535""","=""9780192839534""",0,4.06,Oxford University Press,Paperback,144,1993,-380,,2023/06/06,to-read,to-read (#63),to-read,,,,0,0
30289,The Republic,Plato,"Plato, Plato",Desmond Lee,"=""0140449140""","=""9780140449143""",0,3.96,Penguin Classics,Paperback,416,2003,-375,,2023/06/06,to-read,to-read (#62),to-read,,,,0,0
360882,Phaedrus (Hackett Classics),Plato,"Plato, Plato","Al Anderson, Alexander Nehamas, Paul Woodruff, William Sigalis","=""0872202208""","=""9780872202207""",0,3.96,"Hackett Publishing Company, Inc.",Paperback,144,1995,-370,,2023/06/06,to-read,to-read (#61),to-read,,,,0,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",0,4.15,Penguin Books,Paperback,452,2000,1998,,2023/06/05,,,read,,,,1,0
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez, W.K. Marriott, Denis Daly, Μαρία Κασωτάκη","=""0937832383""","=""9780937832387""",0,3.83,Dante University of America Press,Paperback,140,2003,1513,,2023/06/05,,,read,,,,1,0
60052231,Teoria da Música. Vademecum da Teoria Musical,Bohumil Med,"Med, Bohumil",,"=""857092058X""","=""9788570920584""",0,5.00,APGIQ,Paperback,399,2017,,,2023/06/05,,,read,,,,1,0
40809316,Agilidade Emocional Abra sua Mente Aceite as Mudancas e Prospere no Trabalho e na Vida (Em Portugues do Brasil),Cultrix,"Cultrix, Cultrix",,"=""8531614503""","=""9788531614507""",0,3.99,Cultrix,Paperback,296,2000,2016,,2023/06/05,,,read,,,,1,0
59224952,Foco: O poder da única coisa: Encontre o seu propósito e obtenha resultados extraordinários (Portuguese Edition),Vinicius Almeida,"Almeida, Vinicius",,"=""6555612037""","=""9786555612035""",4,4.00,Figurati,Kindle Edition,118,2021,,2023/06/05,2023/06/02,,,read,,,,1,0
2201221,Nunca Desista de Seus Sonhos,Augusto Cury,"Cury, Augusto",,"=""8575421492""","=""9788575421499""",0,3.81,Sextante,Paperback,160,2004,2004,,2023/06/05,,,read,,,,1,0
852391,JavaScript Bible,Danny Goodman,"Goodman, Danny",Michael Morrison,"=""0764557432""","=""9780764557439""",0,3.69,Wiley,Paperback,1272,2004,1996,,2023/06/05,,,read,,,,1,0
